,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,-307.617,41.992,-887.695,-209.961,59.082,1730817199.234
1,-142.578,31.250,279.785,59.082,53.711,1730817199.238
2,285.156,36.133,-812.500,292.969,-18.066,1730817199.242
3,367.188,42.480,395.996,166.016,-5.371,1730817199.245
4,22.461,48.340,-904.297,-131.348,69.336,1730817199.249
5,-303.711,44.922,-947.754,-222.168,97.656,1730817199.253
6,-179.688,41.992,208.496,21.973,67.871,1730817199.257
7,254.395,41.504,-810.059,284.668,16.602,1730817199.261
8,0.000,-0.488,0.000,0.000,-0.488,1730817199.265
9,-0.488,0.000,0.000,-0.488,-1.465,1730817199.269
10,-9.277,0.977,-36.133,-6.836,16.602,1730817199.272
11,25.879,-2.441,132.812,22.461,-29.297,1730817199.276
12,-105.469,13.672,-509.766,-90.820,151.855,1730817199.279
13,-201.172,35.645,-357.910,-132.324,534.668,1730817199.283
14,127.930,38.574,966.309,182.129,617.188,1730817199.287
15,341.309,38.574,-897.949,315.918,550.293,1730817199.291
16,155.762,35.645,114.258,97.168,489.746,1730817199.295
17,-169.434,40.039,-1000.000,-173.828,451.660,1730817199.298
18,-236.816,36.621,-497.559,-168.457,464.355,1730817199.302
19,65.918,26.367,785.645,135.254,462.891,1730817199.306
20,314.941,33.691,-847.168,303.223,399.414,1730817199.310
21,177.246,44.922,330.078,110.840,409.668,1730817199.314
22,-151.367,39.551,-975.586,-168.945,394.043,1730817199.317
23,-248.535,33.691,-805.664,-197.266,338.867,1730817199.321
24,24.414,31.738,410.645,81.055,333.984,1730817199.331
25,308.105,25.391,-814.941,295.898,344.727,1730817199.335
26,208.008,24.902,358.398,145.996,332.031,1730817199.339
27,-118.652,30.762,-953.125,-144.531,268.555,1730817199.343
28,-254.395,31.738,-894.531,-214.844,234.375,1730817199.347
29,-24.902,27.832,288.086,38.574,202.637,1730817199.352
30,273.926,26.855,-822.754,283.691,192.871,1730817199.356
31,231.934,29.785,461.914,179.688,231.445,1730817199.360
32,-74.707,38.086,-836.914,-95.215,195.801,1730817199.364
33,-246.582,33.691,-990.723,-198.242,130.371,1730817199.368
34,-60.059,27.344,173.828,11.230,138.184,1730817199.372
35,262.695,31.250,-870.605,269.531,116.211,1730817199.376
36,278.809,41.016,726.074,221.191,187.012,1730817199.392
37,-17.090,47.852,-479.980,-41.992,191.406,1730817199.396
38,-239.258,39.551,-1000.000,-198.730,84.961,1730817199.400
39,-106.934,35.156,-92.773,-33.691,100.098,1730817199.405
40,220.703,37.109,-880.859,248.535,107.422,1730817199.409
41,294.922,40.527,737.793,244.629,94.238,1730817199.414
42,28.320,35.645,-497.070,-16.602,25.879,1730817199.418
43,-223.633,27.344,-1000.000,-196.289,62.500,1730817199.422
44,-136.719,28.320,-154.297,-70.801,110.352,1730817199.427
45,190.430,34.668,-919.922,213.379,91.309,1730817199.431
46,312.500,35.645,860.352,261.719,130.859,1730817199.435
47,73.242,37.598,-340.820,17.090,112.793,1730817199.440
48,-204.590,47.852,-1000.000,-188.477,65.430,1730817199.461
49,-171.875,46.387,-309.570,-101.074,19.531,1730817199.466
50,151.367,32.227,955.078,190.430,53.223,1730817199.471
51,326.172,31.250,-966.309,279.785,54.688,1730817199.475
52,118.652,40.039,-60.547,49.805,19.531,1730817199.480
53,-176.270,46.387,-1000.000,-175.781,33.203,1730817199.485
54,-184.570,37.109,-568.359,-125.977,44.434,1730817199.490
55,119.629,26.855,726.562,162.109,77.637,1730817199.494
56,322.754,37.109,-874.023,292.969,130.371,1730817199.499
57,149.902,34.180,33.203,89.844,99.121,1730817199.504
58,-154.785,38.574,-1000.000,-166.504,50.293,1730817199.508
59,-206.543,53.711,-607.910,-155.762,81.055,1730817199.513
60,81.055,47.852,662.109,120.117,128.906,1730817199.533
61,320.801,38.086,-845.703,281.250,105.469,1730817199.538
62,187.012,39.062,99.121,115.723,33.691,1730817199.543
63,-129.883,40.527,-1000.000,-147.461,9.766,1730817199.548
64,-226.562,41.016,-750.488,-177.734,27.832,1730817199.553
65,34.180,36.133,462.402,84.473,76.172,1730817199.558
66,306.641,32.715,-806.152,285.645,73.730,1730817199.563
67,202.148,33.203,277.832,138.184,66.406,1730817199.568
68,-115.723,33.203,-985.352,-144.531,45.410,1730817199.573
69,-240.234,38.574,-910.156,-199.707,59.082,1730817199.578
70,-6.836,32.227,235.352,46.387,58.594,1730817199.583
71,295.410,28.809,-814.453,279.297,42.480,1730817199.588
72,240.234,32.227,424.805,172.363,67.383,1730817199.605
73,-86.426,30.273,-872.070,-126.953,41.504,1730817199.610
74,-263.184,26.855,-1000.000,-229.004,50.781,1730817199.615
75,-53.711,30.762,116.211,4.395,3.906,1730817199.620
76,261.719,35.645,-806.152,261.719,21.484,1730817199.625
77,245.605,37.109,431.641,179.688,50.293,1730817199.630
78,-61.035,45.898,-866.699,-108.398,-10.254,1730817199.635
79,-269.043,41.016,-1000.000,-224.609,32.715,1730817199.641
80,-97.168,31.250,10.254,-28.320,97.656,1730817199.646
81,223.145,35.645,-870.605,233.398,94.727,1730817199.651
82,249.512,37.109,717.773,192.871,70.312,1730817199.656
83,-36.133,42.480,-508.301,-84.473,56.641,1730817199.661
84,-266.602,48.828,-1000.000,-250.000,70.801,1730817199.675
85,-145.996,45.410,-194.336,-98.145,15.625,1730817199.681
86,189.941,41.992,-940.430,199.707,-23.926,1730817199.686
87,279.297,45.898,857.422,223.633,48.340,1730817199.691
88,25.391,53.711,-327.637,-42.969,36.133,1730817199.696
89,-230.469,57.129,-1000.000,-233.887,-16.602,1730817199.702
90,-155.762,54.688,-276.855,-100.586,-24.414,1730817199.707
91,189.453,49.805,-976.074,206.055,20.020,1730817199.712
92,334.473,52.734,941.895,269.531,51.270,1730817199.717
93,86.426,55.176,-237.305,22.949,56.641,1730817199.723
94,-188.477,54.199,-1000.000,-186.523,49.316,1730817199.728
95,-146.484,51.270,-402.832,-91.797,15.137,1730817199.733
96,167.480,42.480,887.207,217.285,41.504,1730817199.740
97,358.398,40.527,-918.945,311.523,34.180,1730817199.745
98,186.523,45.410,-19.531,94.238,28.320,1730817199.750
99,-109.375,47.363,-1000.000,-111.328,47.363,1730817199.756
100,-144.531,45.898,-602.051,-97.168,29.297,1730817199.761
101,151.367,44.434,669.922,174.316,14.160,1730817199.766
102,389.160,43.457,-847.656,352.051,19.043,1730817199.771
103,238.770,47.852,85.449,160.156,-41.504,1730817199.777
104,-78.125,54.199,-1000.000,-103.027,-24.902,1730817199.782
105,-146.484,49.805,-690.918,-96.680,13.184,1730817199.787
106,134.766,40.039,559.082,169.922,74.707,1730817199.792
107,389.648,40.039,-806.641,339.355,103.027,1730817199.798
108,264.160,41.504,200.195,169.434,54.199,1730817199.809
109,-46.387,46.387,-1000.000,-109.375,80.566,1730817199.814
110,-182.129,42.969,-815.430,-161.133,65.918,1730817199.820
111,49.316,39.062,373.535,106.934,25.391,1730817199.825
112,330.078,40.039,-813.477,327.148,46.875,1730817199.830
113,251.465,41.504,376.953,191.895,73.730,1730817199.836
114,-49.316,39.551,-908.691,-89.844,31.738,1730817199.841
115,-196.289,39.551,-943.848,-169.922,47.852,1730817199.846
116,-4.883,37.598,180.664,47.363,86.914,1730817199.852
117,283.203,33.691,-828.613,280.762,84.473,1730817199.857
118,273.926,39.062,472.656,210.449,16.602,1730817199.862
119,-18.555,42.969,-808.105,-66.895,12.207,1730817199.868
120,-220.215,42.969,-1000.000,-198.730,42.480,1730817199.876
121,-60.547,37.109,16.113,-3.906,30.762,1730817199.881
122,250.977,41.016,-833.008,266.113,59.570,1730817199.886
123,278.320,46.875,576.660,226.562,35.645,1730817199.892
124,7.812,42.969,-705.078,-42.969,29.297,1730817199.897
125,-216.309,40.039,-1000.000,-191.406,24.414,1730817199.902
126,-110.352,35.156,-27.344,-35.156,20.996,1730817199.908
127,206.055,30.273,-892.090,236.816,43.945,1730817199.913
128,288.086,36.133,783.203,252.930,46.387,1730817199.919
129,39.062,44.434,-416.504,4.395,-19.043,1730817199.924
130,-214.844,44.434,-1000.000,-189.453,-58.105,1730817199.929
131,-136.230,42.969,-210.449,-68.848,-12.695,1730817199.935
132,194.824,41.992,-958.496,227.539,-20.508,1730817199.949
133,305.176,39.062,928.711,269.043,19.043,1730817199.954
134,69.336,41.992,-219.727,11.719,40.039,1730817199.960
135,-192.871,45.898,-1000.000,-206.055,13.672,1730817199.965
136,-157.715,41.992,-291.504,-107.422,51.270,1730817199.971
137,147.949,38.574,-996.582,194.824,85.938,1730817199.976
138,311.523,40.039,993.652,287.109,82.031,1730817199.982
139,126.465,44.434,-151.855,43.945,36.621,1730817199.987
140,-165.039,50.293,-1000.000,-189.453,46.387,1730817199.992
141,-194.824,44.434,-417.480,-122.070,63.965,1730817199.998
142,112.793,34.180,868.164,168.945,29.297,1730817200.003
143,317.871,30.273,-902.344,270.996,33.691,1730817200.009
144,143.555,39.551,14.648,57.617,35.645,1730817200.018
145,-164.062,41.504,-1000.000,-170.898,14.160,1730817200.023
146,-212.891,36.133,-671.875,-151.855,-23.926,1730817200.028
147,74.219,33.203,553.711,129.883,8.789,1730817200.034
148,309.082,30.273,-823.730,286.133,40.039,1730817200.039
149,184.082,38.086,188.477,103.027,98.633,1730817200.045
150,-117.188,41.016,-1000.000,-155.762,51.270,1730817200.050
151,-215.332,35.156,-718.750,-169.434,24.902,1730817200.056
152,38.574,28.809,536.133,98.145,86.426,1730817200.061
153,302.734,26.367,-806.641,284.180,90.820,1730817200.067
154,208.984,36.133,210.938,143.066,89.844,1730817200.072
155,-98.145,35.645,-1000.000,-118.164,27.832,1730817200.077
